compid;composito;holeid;midx;midy;midz;SampleID;Campana;Starkey_min;BWI_kwh_tc;BWI_kwh_tm;Ai_;Rec_Cut_pct;Rec_As_pct;Rec_Ag_pct;Rec_Zn_pct;Rec_Peso_pct;VelSed_CF12_mh;pct_Sol_FinalesCF;VelSed_SFLO_mh;Sol_FinalesSF_pct;YS54pct_pa;YS57pct_pa;YS60pct_pa;pH_Natural;Lito;Alte;PISO;UGE;IND88;UGM_Starkey;UGM_Wi;UGM_Rec_Cu;UGM_Rec_As;UGM_Rec_Ag;UGM_Rec_Zn;UGM_VelSed;UGM_YS;k Cu Klimpel;k Ag Klimpel;k Cu GZ;k Ag GZ;RecMasica CF_12 Min;RecMasica TF_12 min
compid;PGD19_LAB_051;MHDD0263;8828957;24398710;2096079;MGM-52643;PGD2019;37.8;14.1;15.6;-99;97.9;97;88.6;94.2;22.17;22.8;55.35;0.14;44.04;2.2;5.16;14.01;-99;Brecha Volcanica;Filica;AAS;C5;1;3;3;3;3;3;3;23;3;1.455592753;-99;1.333692828;0.36916248;22.36122479;22.1712963
compid;PGD19_LAB_052;MHDD0263;8834620;24398570;2083825;MGM-52644;PGD2019;44.1;15.7;17.3;-99;95.5;96.7;81.8;87.9;16.97;22.8;53.89;0.15;44.04;2.43;5.16;15.71;-99;Volcanitas;Filica;AAS;C5;1;3;3;3;3;3;3;23;3;1.108379843;-99;0.491112244;0.33568263;16.06669755;16.9712963
compid;PGD19_LAB_053;MHDD0263;8854600;24397757;2041016;MGM-52645;PGD2019;39.9;14.6;16.1;-99;92.5;95.1;85.2;59.2;15.2;28.8;61.13;0.28;59.36;0.45;1.46;4.02;-99;Granodiorita;Argilica Avanzada;AAS;C5;1;5;5;3;3;3;3;23;5;0.506267136;-99;1.277851017;0.17284176;13.76841832;15.2037037
compid;PGD19_LAB_054;MHDD0306;9120671;26200272;2180037;MGM-52646;PGD2019;14.2;13.8;15.2;-99;92.7;86.8;81.2;78.6;10.19;12.4;54.61;0.1;40.15;5.28;10.95;14.19;-99;Granodiorita;Filica;BAS;C1;1;3;3;4;4;6;2;4;3;1.543464814;-99;1.264501091;0.55880605;11.14521513;10.19444444
compid;PGD19_LAB_055;MHDD0306;9123513;26200208;2174753;MGM-52647;PGD2019;16.5;13.2;14.6;-99;92.8;94.8;87.7;82.1;15.13;16.4;49.34;0.39;45.01;5.71;10.96;12.76;-99;Brecha Hidrotermal;Argilica Avanzada;AAS;C5;1;5;5;3;3;3;3;23;5;1.706253665;-99;0.874882381;0.49526097;15.0125506;15.1287037
compid;PGD19_LAB_056;MHDD0306;9126709;26200151;2168807;MGM-52648;PGD2019;7.6;13.2;14.5;-99;90.9;78.2;88.1;51.2;7.92;9.3;48.76;0.2;44.04;4.49;8.66;24.08;-99;Granodiorita;Argilica Avanzada;BAS;C5;1;5;5;4;4;5;2;5;6;1.332808116;-99;0.623340014;0.5269937;7.725429423;7.916666667
compid;PGD19_LAB_057;MHDD0306;9134083;26199942;2154892;MGM-52649;PGD2019;10.8;12;13.2;-99;89.7;83.9;88.2;74;11.16;8.9;48.18;0.11;40.15;4.61;5.42;12.18;-99;Granodiorita;Argilica Avanzada;BAS;C5;1;5;5;4;4;5;2;5;6;2.241034988;-99;0.381540604;0.71749686;12.66369475;11.16018519
compid;PGD19_LAB_058;MHDD0306;9143913;26199631;2136338;MGM-52650;PGD2019;6.5;12.1;13.3;-99;88.1;83.3;83;91;11.76;11.4;51.84;0.11;42.22;1.81;2.97;8.66;-99;Granodiorita;Filica;BAS;C5;1;3;3;4;4;5;2;4;3;1.762673506;-99;0.662018503;0.63978593;12.34467078;11.75740741
compid;PGD19_LAB_059;MHDD0306;9146723;26199540;2131037;MGM-52651;PGD2019;7.1;12.4;13.7;-99;85.8;63.1;81.9;86.5;9.31;15.8;53.19;0.14;44.04;1.89;3.78;1.89;-99;Porfido MM;Filica;BAS;PMM;0;2;2;5;5;5;2;4;3;1.488844936;-99;0.364417201;0.5255061;9.082949094;9.313888889
compid;PGD19_LAB_060;MHDD0306;9152688;26199355;2119770;MGM-52652;PGD2019;6.6;12.2;13.5;-99;81.5;42.4;77.6;65.3;9.1;9.5;52.51;0.08;35.31;3.72;5.14;9.13;-99;Porfido MM;Argilica;BAS;PMM;0;4;4;5;5;5;2;5;6;1.5095378;-99;0.404294266;0.44565868;9.516776279;9.10462963
compid;PGD19_LAB_061;MHDD0303;9085744;25800899;2001315;MGM-52653;PGD2019;6.8;12.7;14;-99;88.6;14.7;86.1;65.5;15.69;16.8;56.11;0.08;45.01;4.46;5.72;11.3;-99;Porfido MM;Argilica;BAS;PMM;1;4;4;4;5;5;2;5;6;2.910858101;-99;0.445667946;0.70775221;15.21138;15.68888889
compid;PGD19_LAB_062;MHDD0303;9062417;25800966;1969132;MGM-52654;PGD2019;14.4;14.4;15.9;-99;93.4;49.8;87.9;92.5;11.62;14.8;55.35;0.14;44.04;5.99;10.09;13.66;-99;Porfido MM;Filica;BAS;PMM;1;2;2;4;5;5;2;4;3;3.154985247;-99;0.895219473;0.8746613;12.09376418;11.61759259
compid;PGD19_LAB_063;MHDD0303;9057590;25800959;1962442;MGM-52655;PGD2019;6.3;10.9;12;-99;92.7;12.8;86.1;38.8;12.83;9.3;56.11;0.07;42.22;3.61;7.21;35.99;-99;Porfido MM;Filica;BAS;PMM;1;2;2;4;5;5;2;4;3;2.395642393;-99;0.795691552;0.79848669;12.87588464;12.83148148
